Title,,Genre,Available Globally?,Release Date,Hours Viewed
Hunger // คนหิว เกมกระหาย,N,Drama,Yes,2023-04-08,"92,300,000"
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,N,Thriller,Yes,2020-12-10,"92,200,000"
CoComelon: Season 3,,Children,No,2021-05-31,"91,400,000"
Firefly Lane: Season 1,,Drama,Yes,2021-02-03,"91,200,000"
Women at War: Limited Series // Les Combattantes: Mini-série,,Drama,Yes,2022-10-27,"90,800,000"
Formula 1: Drive to Survive: Season 5,,Drama,Yes,2023-02-24,"90,200,000"
Sweet Tooth: Season 1,,Fantasy,Yes,2021-06-04,"89,000,000"
S.W.A.T. (2017): Season 1,,Crune,No,,"88,600,000"
Murder Mystery,,Comedy,Yes,2019-06-14,"87,900,000"
True Beauty // 여신강림,N,Romance,No,,"87,300,000"
Squid Game: Season 1 // 오징어 게임: 시즌 1,N,Thriller,Yes,2021-09-17,"87,200,000"
Little Angel: Volume 2,,Children,Yes,,"86,200,000"
Manifest: Season 2,,Mystery,No,2021-06-10,"86,200,000"
Extraction,,Thriller,Yes,2020-04-24,"86,100,000"
Lucifer: Season 2,,Fantasy,No,2017-08-31,"86,100,000"
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,,Drama,Yes,2022-12-31,"86,000,000"
Woman of the Dead: Season 1 // Totenfrau: Season 1,,Drama,Yes,2022-11-15,"85,400,000"
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,N,Drama,Yes,2023-02-15,"85,000,000"
Florida Man: Limited Series,,Comedy,Yes,2023-04-13,"84,600,000"
Lucifer: Season 1,,Fantasy,No,2017-07-23,"84,400,000"
Shahmaran: Season 1 // Şahmaran: Season 1,,Fantasy,Yes,2023-01-20,"83,600,000"
Breaking Bad: Season 1,,Drama,No,,"83,200,000"
The Last Kingdom: Seven Kings Must Die,,Drama,Yes,2023-04-14,"83,200,000"
Selling Sunset: Season 6,,Reality Tv,Yes,2023-05-19,"82,800,000"
CoComelon: Season 4,,Children,No,2021-10-14,"82,500,000"
Suits (2011): Season 3,,Drama,Yes,,"82,500,000"
Sam & Cat: Season 1,,Comedy,No,,"82,400,000"
Gilmore Girls: Season 1,,Drama,Yes,,"82,100,000"
Sonic Prime: Season 1,,Children,Yes,2022-12-15,"82,100,000"
Peppa Pig: Season 1,,Children,No,,"81,800,000"
Manifest: Season 3,,Mystery,No,2021-08-21,"81,700,000"
Roald Dahl's Matilda The Musical,,Children,Yes,2022-12-25,"81,000,000"
Better Call Saul: Season 6,,Drama,No,2022-04-19,"80,800,000"
Sing (2016),,Comedy,No,,"80,500,000"
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,N,Thriller,No,,"80,300,000"
All Quiet on the Western Front // Im Westen nichts Neues,,Drama,Yes,2022-10-28,"80,000,000"
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,,Crime,Yes,2023-03-17,"79,700,000"
Alpha Males: Season 1 // Machos alfa: Season 1,,Comedy,No,2022-12-30,"78,200,000"
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,,Thriller,No,2023-01-26,"78,200,000"
Chupa,,Fantasy,Yes,2023-04-07,"77,800,000"
Stranger Things,,Thriller,Yes,2016-07-15,"77,800,000"
